ensembl_gene_id	entrezgene_id	gene_biotype	external_gene_name	subsystem
ENSG00000143921	64241	protein_coding	ABCG8	Transport, extracellular
ENSG00000011198	51099	protein_coding	ABHD5	Glycerolipid metabolism
ENSG00000011198	51099	protein_coding	ABHD5	Glycerophospholipid metabolism
ENSG00000060971	30	protein_coding	ACAA1	Arachidonic acid metabolism
ENSG00000060971	30	protein_coding	ACAA1	Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal)
ENSG00000060971	30	protein_coding	ACAA1	Beta oxidation of even-chain fatty acids (mitochondrial)
ENSG00000060971	30	protein_coding	ACAA1	Beta oxidation of even-chain fatty acids (peroxisomal)
ENSG00000060971	30	protein_coding	ACAA1	Beta oxidation of phytanic acid (peroxisomal)
ENSG00000060971	30	protein_coding	ACAA1	Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial)
ENSG00000060971	30	protein_coding	ACAA1	Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal)
ENSG00000060971	30	protein_coding	ACAA1	Bile acid biosynthesis
ENSG00000060971	30	protein_coding	ACAA1	Leukotriene metabolism
ENSG00000060971	30	protein_coding	ACAA1	Omega-3 fatty acid metabolism
ENSG00000060971	30	protein_coding	ACAA1	Omega-6 fatty acid metabolism
ENSG00000060971	30	protein_coding	ACAA1	Transport, mitochondrial
ENSG00000060971	30	protein_coding	ACAA1	Vitamin E metabolism
ENSG00000167315	10449	protein_coding	ACAA2	Arachidonic acid metabolism
ENSG00000167315	10449	protein_coding	ACAA2	Beta oxidation of branched-chain fatty acids (mitochondrial)
ENSG00000167315	10449	protein_coding	ACAA2	Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial)
ENSG00000167315	10449	protein_coding	ACAA2	Beta oxidation of even-chain fatty acids (mitochondrial)
ENSG00000167315	10449	protein_coding	ACAA2	Beta oxidation of odd-chain fatty acids (mitochondrial)
ENSG00000167315	10449	protein_coding	ACAA2	Beta oxidation of poly-unsaturated fatty acids (mitochondrial)
ENSG00000167315	10449	protein_coding	ACAA2	Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial)
ENSG00000167315	10449	protein_coding	ACAA2	Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial)
ENSG00000167315	10449	protein_coding	ACAA2	Leukotriene metabolism
ENSG00000167315	10449	protein_coding	ACAA2	Omega-6 fatty acid metabolism
ENSG00000167315	10449	protein_coding	ACAA2	Transport, mitochondrial
ENSG00000167315	10449	protein_coding	ACAA2	Valine, leucine, and isoleucine metabolism
ENSG00000167315	10449	protein_coding	ACAA2	Vitamin E metabolism
ENSG00000275176	31	protein_coding	ACACA	NA
ENSG00000278540	31	protein_coding	ACACA	NA
ENSG00000076555	32	protein_coding	ACACB	Biotin metabolism
ENSG00000076555	32	protein_coding	ACACB	Fatty acid biosynthesis (even-chain)
ENSG00000151498	27034	protein_coding	ACAD8	Butanoate metabolism
ENSG00000151498	27034	protein_coding	ACAD8	Propanoate metabolism
ENSG00000151498	27034	protein_coding	ACAD8	Purine metabolism
ENSG00000115361	33	protein_coding	ACADL	Beta oxidation of branched-chain fatty acids (mitochondrial)
ENSG00000115361	33	protein_coding	ACADL	Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial)
ENSG00000115361	33	protein_coding	ACADL	Beta oxidation of even-chain fatty acids (mitochondrial)
ENSG00000115361	33	protein_coding	ACADL	Beta oxidation of odd-chain fatty acids (mitochondrial)
ENSG00000115361	33	protein_coding	ACADL	Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial)
ENSG00000115361	33	protein_coding	ACADL	Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial)
ENSG00000115361	33	protein_coding	ACADL	Omega-6 fatty acid metabolism
ENSG00000117054	34	protein_coding	ACADM	Beta oxidation of branched-chain fatty acids (mitochondrial)
ENSG00000117054	34	protein_coding	ACADM	Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial)
ENSG00000117054	34	protein_coding	ACADM	Beta oxidation of even-chain fatty acids (mitochondrial)
ENSG00000117054	34	protein_coding	ACADM	Beta oxidation of odd-chain fatty acids (mitochondrial)
ENSG00000117054	34	protein_coding	ACADM	Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial)
ENSG00000117054	34	protein_coding	ACADM	Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial)
ENSG00000117054	34	protein_coding	ACADM	Butanoate metabolism
ENSG00000117054	34	protein_coding	ACADM	Omega-6 fatty acid metabolism
ENSG00000117054	34	protein_coding	ACADM	Propanoate metabolism
ENSG00000117054	34	protein_coding	ACADM	Purine metabolism
ENSG00000117054	34	protein_coding	ACADM	Transport, mitochondrial
ENSG00000117054	34	protein_coding	ACADM	Transport, nuclear
ENSG00000117054	34	protein_coding	ACADM	Valine, leucine, and isoleucine metabolism
ENSG00000122971	35	protein_coding	ACADS	Butanoate metabolism
ENSG00000122971	35	protein_coding	ACADS	Propanoate metabolism
ENSG00000122971	35	protein_coding	ACADS	Valine, leucine, and isoleucine metabolism
ENSG00000196177	36	protein_coding	ACADSB	Beta oxidation of even-chain fatty acids (mitochondrial)
ENSG00000196177	36	protein_coding	ACADSB	Beta oxidation of odd-chain fatty acids (mitochondrial)
ENSG00000196177	36	protein_coding	ACADSB	Butanoate metabolism
ENSG00000196177	36	protein_coding	ACADSB	Glycine, serine and threonine metabolism
ENSG00000196177	36	protein_coding	ACADSB	Propanoate metabolism
ENSG00000196177	36	protein_coding	ACADSB	Valine, leucine, and isoleucine metabolism
ENSG00000072778	37	protein_coding	ACADVL	Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial)
ENSG00000072778	37	protein_coding	ACADVL	Beta oxidation of even-chain fatty acids (mitochondrial)
ENSG00000072778	37	protein_coding	ACADVL	Beta oxidation of odd-chain fatty acids (mitochondrial)
ENSG00000072778	37	protein_coding	ACADVL	Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial)
ENSG00000072778	37	protein_coding	ACADVL	Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial)
ENSG00000072778	37	protein_coding	ACADVL	Omega-6 fatty acid metabolism
ENSG00000072778	37	protein_coding	ACADVL	Purine metabolism
ENSG00000157766	176	protein_coding	ACAN	NA
ENSG00000075239	38	protein_coding	ACAT1	Tryptophan metabolism
ENSG00000120437	39	protein_coding	ACAT2	Butanoate metabolism
ENSG00000120437	39	protein_coding	ACAT2	Cholesterol metabolism
ENSG00000167769	125981	protein_coding	ACER1	Sphingolipid metabolism
ENSG00000177076	340485	protein_coding	ACER2	Sphingolipid metabolism
ENSG00000078124	55331	protein_coding	ACER3	Histidine metabolism
ENSG00000078124	55331	protein_coding	ACER3	Sphingolipid metabolism
ENSG00000087085	43	protein_coding	ACHE	Glycerophospholipid metabolism
ENSG00000131473	47	protein_coding	ACLY	Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism
ENSG00000153086	130013	protein_coding	ACMSD	Phenylalanine, tyrosine and tryptophan biosynthesis
ENSG00000122729	48	protein_coding	ACO1	Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism
ENSG00000100412	50	protein_coding	ACO2	Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism
ENSG00000172497	134526	protein_coding	ACOT12	Pyruvate metabolism
ENSG00000101473	10005	protein_coding	ACOT8	Acyl-CoA hydrolysis
ENSG00000101473	10005	protein_coding	ACOT8	Arachidonic acid metabolism
ENSG00000101473	10005	protein_coding	ACOT8	Bile acid biosynthesis
ENSG00000101473	10005	protein_coding	ACOT8	Leukotriene metabolism
ENSG00000101473	10005	protein_coding	ACOT8	Vitamin E metabolism
ENSG00000161533	51	protein_coding	ACOX1	Arachidonic acid metabolism
ENSG00000161533	51	protein_coding	ACOX1	Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal)
ENSG00000161533	51	protein_coding	ACOX1	Beta oxidation of even-chain fatty acids (peroxisomal)
ENSG00000161533	51	protein_coding	ACOX1	Beta oxidation of phytanic acid (peroxisomal)
ENSG00000161533	51	protein_coding	ACOX1	Beta oxidation of poly-unsaturated fatty acids (mitochondrial)
ENSG00000161533	51	protein_coding	ACOX1	Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial)
ENSG00000161533	51	protein_coding	ACOX1	Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal)
ENSG00000161533	51	protein_coding	ACOX1	Bile acid biosynthesis
ENSG00000161533	51	protein_coding	ACOX1	Leukotriene metabolism
ENSG00000161533	51	protein_coding	ACOX1	Omega-3 fatty acid metabolism
ENSG00000161533	51	protein_coding	ACOX1	Omega-6 fatty acid metabolism
ENSG00000161533	51	protein_coding	ACOX1	Transport, nuclear
ENSG00000161533	51	protein_coding	ACOX1	Transport, peroxisomal
ENSG00000161533	51	protein_coding	ACOX1	Vitamin E metabolism
ENSG00000168306	8309	protein_coding	ACOX2	Bile acid biosynthesis
ENSG00000087008	8310	protein_coding	ACOX3	Arachidonic acid metabolism
ENSG00000087008	8310	protein_coding	ACOX3	Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal)
ENSG00000087008	8310	protein_coding	ACOX3	Beta oxidation of even-chain fatty acids (peroxisomal)
ENSG00000087008	8310	protein_coding	ACOX3	Beta oxidation of phytanic acid (peroxisomal)
ENSG00000087008	8310	protein_coding	ACOX3	Beta oxidation of poly-unsaturated fatty acids (mitochondrial)
ENSG00000087008	8310	protein_coding	ACOX3	Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial)
ENSG00000087008	8310	protein_coding	ACOX3	Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal)
ENSG00000087008	8310	protein_coding	ACOX3	Bile acid biosynthesis
ENSG00000087008	8310	protein_coding	ACOX3	Leukotriene metabolism
ENSG00000087008	8310	protein_coding	ACOX3	Omega-3 fatty acid metabolism
ENSG00000087008	8310	protein_coding	ACOX3	Omega-6 fatty acid metabolism
ENSG00000087008	8310	protein_coding	ACOX3	Purine metabolism
ENSG00000087008	8310	protein_coding	ACOX3	Vitamin E metabolism
ENSG00000143727	52	protein_coding	ACP1	Metabolism of xenobiotics by cytochrome P450
ENSG00000143727	52	protein_coding	ACP1	Nicotinate and nicotinamide metabolism
ENSG00000143727	52	protein_coding	ACP1	Protein modification
ENSG00000143727	52	protein_coding	ACP1	Riboflavin metabolism
ENSG00000134575	53	protein_coding	ACP2	Metabolism of xenobiotics by cytochrome P450
ENSG00000134575	53	protein_coding	ACP2	Nucleotide metabolism
ENSG00000134575	53	protein_coding	ACP2	Pantothenate and CoA biosynthesis
ENSG00000102575	54	protein_coding	ACP5	Metabolism of xenobiotics by cytochrome P450
ENSG00000102575	54	protein_coding	ACP5	Nicotinate and nicotinamide metabolism
ENSG00000102575	54	protein_coding	ACP5	Riboflavin metabolism
ENSG00000162836	51205	protein_coding	ACP6	Metabolism of xenobiotics by cytochrome P450
ENSG00000162836	51205	protein_coding	ACP6	Nicotinate and nicotinamide metabolism
ENSG00000162836	51205	protein_coding	ACP6	Riboflavin metabolism
ENSG00000151726	2180	protein_coding	ACSL1	Beta oxidation of phytanic acid (peroxisomal)
ENSG00000151726	2180	protein_coding	ACSL1	Fatty acid activation (cytosolic)
ENSG00000151726	2180	protein_coding	ACSL1	Fatty acid activation (endoplasmic reticular)
ENSG00000151726	2180	protein_coding	ACSL1	Leukotriene metabolism
ENSG00000151726	2180	protein_coding	ACSL1	Transport, mitochondrial
ENSG00000151726	2180	protein_coding	ACSL1	Transport, nuclear
ENSG00000123983	2181	protein_coding	ACSL3	Beta oxidation of phytanic acid (peroxisomal)
ENSG00000123983	2181	protein_coding	ACSL3	Fatty acid activation (cytosolic)
ENSG00000123983	2181	protein_coding	ACSL3	Fatty acid activation (endoplasmic reticular)
ENSG00000123983	2181	protein_coding	ACSL3	Leukotriene metabolism
ENSG00000068366	2182	protein_coding	ACSL4	Beta oxidation of phytanic acid (peroxisomal)
ENSG00000068366	2182	protein_coding	ACSL4	Fatty acid activation (cytosolic)
ENSG00000068366	2182	protein_coding	ACSL4	Fatty acid activation (endoplasmic reticular)
ENSG00000068366	2182	protein_coding	ACSL4	Leukotriene metabolism
ENSG00000197142	51703	protein_coding	ACSL5	Beta oxidation of phytanic acid (peroxisomal)
ENSG00000197142	51703	protein_coding	ACSL5	Fatty acid activation (cytosolic)
ENSG00000197142	51703	protein_coding	ACSL5	Fatty acid activation (endoplasmic reticular)
ENSG00000197142	51703	protein_coding	ACSL5	Leukotriene metabolism
ENSG00000164398	23305	protein_coding	ACSL6	Beta oxidation of phytanic acid (peroxisomal)
ENSG00000164398	23305	protein_coding	ACSL6	Fatty acid activation (cytosolic)
ENSG00000164398	23305	protein_coding	ACSL6	Fatty acid activation (endoplasmic reticular)
ENSG00000164398	23305	protein_coding	ACSL6	Leukotriene metabolism
ENSG00000166743	116285	protein_coding	ACSM1	Fatty acid activation (cytosolic)
ENSG00000183747	123876	protein_coding	ACSM2A	Fatty acid activation (cytosolic)
ENSG00000005187	6296	protein_coding	ACSM3	Fatty acid activation (cytosolic)
ENSG00000215009	341392	protein_coding	ACSM4	Fatty acid activation (cytosolic)
ENSG00000183549	54988	protein_coding	ACSM5	Fatty acid activation (cytosolic)
ENSG00000154930	84532	protein_coding	ACSS1	Glycolysis / Gluconeogenesis
ENSG00000154930	84532	protein_coding	ACSS1	Propanoate metabolism
ENSG00000154930	84532	protein_coding	ACSS1	Valine, leucine, and isoleucine metabolism
ENSG00000131069	55902	protein_coding	ACSS2	Glycolysis / Gluconeogenesis
ENSG00000131069	55902	protein_coding	ACSS2	Propanoate metabolism
ENSG00000131069	55902	protein_coding	ACSS2	Valine, leucine, and isoleucine metabolism
ENSG00000111058	79611	protein_coding	ACSS3	Glycolysis / Gluconeogenesis
ENSG00000111058	79611	protein_coding	ACSS3	Propanoate metabolism
ENSG00000111058	79611	protein_coding	ACSS3	Valine, leucine, and isoleucine metabolism
ENSG00000075624	60	protein_coding	ACTB	NA
ENSG00000243989	95	protein_coding	ACY1	Arginine and proline metabolism
ENSG00000243989	95	protein_coding	ACY1	Cysteine and methionine metabolism
ENSG00000243989	95	protein_coding	ACY1	Glycine, serine and threonine metabolism
ENSG00000132744	91703	protein_coding	ACY3	Alanine, aspartate and glutamate metabolism
ENSG00000132744	91703	protein_coding	ACY3	Histidine metabolism
ENSG00000119640	97	protein_coding	ACYP1	Glycolysis / Gluconeogenesis
ENSG00000196839	100	protein_coding	ADA	Nucleotide metabolism
ENSG00000196839	100	protein_coding	ADA	Purine metabolism
ENSG00000168803	161823	protein_coding	ADAL	NA
ENSG00000164742	107	protein_coding	ADCY1	Purine metabolism
ENSG00000143199	55811	protein_coding	ADCY10	Purine metabolism
ENSG00000284814	196883	protein_coding	ADCY4	NA
ENSG00000129467	196883	protein_coding	ADCY4	Purine metabolism
ENSG00000187758	124	protein_coding	ADH1A	Bile acid biosynthesis
ENSG00000187758	124	protein_coding	ADH1A	Glycerolipid metabolism
ENSG00000187758	124	protein_coding	ADH1A	Glycolysis / Gluconeogenesis
ENSG00000187758	124	protein_coding	ADH1A	Leukotriene metabolism
ENSG00000187758	124	protein_coding	ADH1A	Metabolism of xenobiotics by cytochrome P450
ENSG00000187758	124	protein_coding	ADH1A	Miscellaneous
ENSG00000187758	124	protein_coding	ADH1A	Phenylalanine, tyrosine and tryptophan biosynthesis
ENSG00000187758	124	protein_coding	ADH1A	Pyruvate metabolism
ENSG00000187758	124	protein_coding	ADH1A	Retinol metabolism
ENSG00000187758	124	protein_coding	ADH1A	Serotonin and melatonin biosynthesis
ENSG00000187758	124	protein_coding	ADH1A	Tyrosine metabolism
ENSG00000196616	125	protein_coding	ADH1B	Bile acid biosynthesis
ENSG00000196616	125	protein_coding	ADH1B	Glycerolipid metabolism
ENSG00000196616	125	protein_coding	ADH1B	Glycolysis / Gluconeogenesis
ENSG00000196616	125	protein_coding	ADH1B	Leukotriene metabolism
ENSG00000196616	125	protein_coding	ADH1B	Metabolism of xenobiotics by cytochrome P450
ENSG00000196616	125	protein_coding	ADH1B	Miscellaneous
ENSG00000196616	125	protein_coding	ADH1B	Phenylalanine, tyrosine and tryptophan biosynthesis
ENSG00000196616	125	protein_coding	ADH1B	Pyruvate metabolism
ENSG00000196616	125	protein_coding	ADH1B	Retinol metabolism
ENSG00000196616	125	protein_coding	ADH1B	Serotonin and melatonin biosynthesis
ENSG00000196616	125	protein_coding	ADH1B	Tyrosine metabolism
ENSG00000248144	126	protein_coding	ADH1C	Bile acid biosynthesis
ENSG00000248144	126	protein_coding	ADH1C	Glycerolipid metabolism
ENSG00000248144	126	protein_coding	ADH1C	Glycolysis / Gluconeogenesis
ENSG00000248144	126	protein_coding	ADH1C	Leukotriene metabolism
ENSG00000248144	126	protein_coding	ADH1C	Metabolism of xenobiotics by cytochrome P450
ENSG00000248144	126	protein_coding	ADH1C	Miscellaneous
ENSG00000248144	126	protein_coding	ADH1C	Phenylalanine, tyrosine and tryptophan biosynthesis
ENSG00000248144	126	protein_coding	ADH1C	Pyruvate metabolism
ENSG00000248144	126	protein_coding	ADH1C	Retinol metabolism
ENSG00000248144	126	protein_coding	ADH1C	Serotonin and melatonin biosynthesis
ENSG00000248144	126	protein_coding	ADH1C	Tyrosine metabolism
ENSG00000198099	127	protein_coding	ADH4	Bile acid biosynthesis
ENSG00000198099	127	protein_coding	ADH4	Glycerolipid metabolism
ENSG00000198099	127	protein_coding	ADH4	Glycolysis / Gluconeogenesis
ENSG00000198099	127	protein_coding	ADH4	Leukotriene metabolism
ENSG00000198099	127	protein_coding	ADH4	Metabolism of xenobiotics by cytochrome P450
ENSG00000198099	127	protein_coding	ADH4	Miscellaneous
ENSG00000198099	127	protein_coding	ADH4	Phenylalanine, tyrosine and tryptophan biosynthesis
ENSG00000198099	127	protein_coding	ADH4	Pyruvate metabolism
ENSG00000198099	127	protein_coding	ADH4	Retinol metabolism
ENSG00000198099	127	protein_coding	ADH4	Serotonin and melatonin biosynthesis
ENSG00000198099	127	protein_coding	ADH4	Tyrosine metabolism
ENSG00000197894	128	protein_coding	ADH5	Bile acid biosynthesis
ENSG00000197894	128	protein_coding	ADH5	Glutathione metabolism
ENSG00000197894	128	protein_coding	ADH5	Glycerolipid metabolism
ENSG00000197894	128	protein_coding	ADH5	Glycolysis / Gluconeogenesis
ENSG00000197894	128	protein_coding	ADH5	Leukotriene metabolism
ENSG00000197894	128	protein_coding	ADH5	Metabolism of xenobiotics by cytochrome P450
ENSG00000197894	128	protein_coding	ADH5	Miscellaneous
ENSG00000197894	128	protein_coding	ADH5	Phenylalanine, tyrosine and tryptophan biosynthesis
ENSG00000197894	128	protein_coding	ADH5	Propanoate metabolism
ENSG00000197894	128	protein_coding	ADH5	Pyruvate metabolism
ENSG00000197894	128	protein_coding	ADH5	Retinol metabolism
ENSG00000197894	128	protein_coding	ADH5	Serotonin and melatonin biosynthesis
ENSG00000197894	128	protein_coding	ADH5	Tyrosine metabolism
ENSG00000197894	128	protein_coding	ADH5	Valine, leucine, and isoleucine metabolism
ENSG00000172955	130	protein_coding	ADH6	Bile acid biosynthesis
ENSG00000172955	130	protein_coding	ADH6	Glycerolipid metabolism
ENSG00000172955	130	protein_coding	ADH6	Glycolysis / Gluconeogenesis
ENSG00000172955	130	protein_coding	ADH6	Leukotriene metabolism
ENSG00000172955	130	protein_coding	ADH6	Metabolism of xenobiotics by cytochrome P450
ENSG00000172955	130	protein_coding	ADH6	Miscellaneous
ENSG00000172955	130	protein_coding	ADH6	Phenylalanine, tyrosine and tryptophan biosynthesis
ENSG00000172955	130	protein_coding	ADH6	Pyruvate metabolism
ENSG00000172955	130	protein_coding	ADH6	Retinol metabolism
ENSG00000172955	130	protein_coding	ADH6	Serotonin and melatonin biosynthesis
ENSG00000172955	130	protein_coding	ADH6	Tyrosine metabolism
ENSG00000196344	131	protein_coding	ADH7	Bile acid biosynthesis
ENSG00000196344	131	protein_coding	ADH7	Glycerolipid metabolism
ENSG00000196344	131	protein_coding	ADH7	Glycolysis / Gluconeogenesis
ENSG00000196344	131	protein_coding	ADH7	Leukotriene metabolism
ENSG00000196344	131	protein_coding	ADH7	Metabolism of xenobiotics by cytochrome P450
ENSG00000196344	131	protein_coding	ADH7	Miscellaneous
ENSG00000196344	131	protein_coding	ADH7	Phenylalanine, tyrosine and tryptophan biosynthesis
ENSG00000196344	131	protein_coding	ADH7	Pyruvate metabolism
ENSG00000196344	131	protein_coding	ADH7	Retinol metabolism
ENSG00000196344	131	protein_coding	ADH7	Serotonin and melatonin biosynthesis
ENSG00000196344	131	protein_coding	ADH7	Tyrosine metabolism
ENSG00000147576	137872	protein_coding	ADHFE1	Bile acid biosynthesis
ENSG00000147576	137872	protein_coding	ADHFE1	Glycolysis / Gluconeogenesis
ENSG00000147576	137872	protein_coding	ADHFE1	Leukotriene metabolism
ENSG00000147576	137872	protein_coding	ADHFE1	Metabolism of xenobiotics by cytochrome P450
ENSG00000147576	137872	protein_coding	ADHFE1	Miscellaneous
ENSG00000147576	137872	protein_coding	ADHFE1	Phenylalanine, tyrosine and tryptophan biosynthesis
ENSG00000147576	137872	protein_coding	ADHFE1	Pyruvate metabolism
ENSG00000147576	137872	protein_coding	ADHFE1	Retinol metabolism
ENSG00000147576	137872	protein_coding	ADHFE1	Serotonin and melatonin biosynthesis
ENSG00000147576	137872	protein_coding	ADHFE1	Tyrosine metabolism
ENSG00000280830	55256	protein_coding	ADI1	NA
ENSG00000182551	55256	protein_coding	ADI1	Cysteine and methionine metabolism
ENSG00000156110	132	protein_coding	ADK	Purine metabolism
ENSG00000181915	84890	protein_coding	ADO	Bile acid biosynthesis
ENSG00000150594	150	protein_coding	ADRA2A	NA
ENSG00000239900	158	protein_coding	ADSL	Purine metabolism
ENSG00000183077	125061	protein_coding	AFMID	Phenylalanine, tyrosine and tryptophan biosynthesis
ENSG00000262327	55750	protein_coding	AGK	NA
ENSG00000006530	55750	protein_coding	AGK	Glycerolipid metabolism
ENSG00000162688	178	protein_coding	AGL	Starch and sucrose metabolism
ENSG00000116771	79814	protein_coding	AGMAT	Arginine and proline metabolism
ENSG00000236873	10554	protein_coding	AGPAT1	Glycerolipid metabolism
ENSG00000236873	10554	protein_coding	AGPAT1	Glycerophospholipid metabolism
ENSG00000226467	10554	protein_coding	AGPAT1	Glycerolipid metabolism
ENSG00000226467	10554	protein_coding	AGPAT1	Glycerophospholipid metabolism
ENSG00000227642	10554	protein_coding	AGPAT1	Glycerolipid metabolism
ENSG00000227642	10554	protein_coding	AGPAT1	Glycerophospholipid metabolism
ENSG00000206324	10554	protein_coding	AGPAT1	Glycerolipid metabolism
ENSG00000206324	10554	protein_coding	AGPAT1	Glycerophospholipid metabolism
ENSG00000235758	10554	protein_coding	AGPAT1	Glycerolipid metabolism
ENSG00000235758	10554	protein_coding	AGPAT1	Glycerophospholipid metabolism
ENSG00000228892	10554	protein_coding	AGPAT1	Glycerolipid metabolism
ENSG00000228892	10554	protein_coding	AGPAT1	Glycerophospholipid metabolism
ENSG00000204310	10554	protein_coding	AGPAT1	Glycerolipid metabolism
ENSG00000204310	10554	protein_coding	AGPAT1	Glycerophospholipid metabolism
ENSG00000169692	10555	protein_coding	AGPAT2	Glycerolipid metabolism
ENSG00000169692	10555	protein_coding	AGPAT2	Glycerophospholipid metabolism
ENSG00000160216	56894	protein_coding	AGPAT3	Glycerolipid metabolism
ENSG00000160216	56894	protein_coding	AGPAT3	Glycerophospholipid metabolism
ENSG00000160216	56894	protein_coding	AGPAT3	Transport, mitochondrial
ENSG00000026652	56895	protein_coding	AGPAT4	Glycerolipid metabolism
ENSG00000026652	56895	protein_coding	AGPAT4	Glycerophospholipid metabolism
ENSG00000026652	56895	protein_coding	AGPAT4	Transport, mitochondrial
ENSG00000284980	55326	protein_coding	AGPAT5	NA
ENSG00000155189	55326	protein_coding	AGPAT5	Glycerolipid metabolism
ENSG00000155189	55326	protein_coding	AGPAT5	Glycerophospholipid metabolism
ENSG00000018510	8540	protein_coding	AGPS	Glycerophospholipid metabolism
ENSG00000188157	375790	protein_coding	AGRN	NA
ENSG00000135744	183	protein_coding	AGT	Transport, extracellular
ENSG00000172482	189	protein_coding	AGXT	Glycine, serine and threonine metabolism
ENSG00000113492	64902	protein_coding	AGXT2	Glycine, serine and threonine metabolism
ENSG00000113492	64902	protein_coding	AGXT2	Pyrimidine metabolism
ENSG00000113492	64902	protein_coding	AGXT2	Valine, leucine, and isoleucine metabolism
ENSG00000101444	191	protein_coding	AHCY	Cysteine and methionine metabolism
ENSG00000101444	191	protein_coding	AHCY	Other amino acid
ENSG00000168710	10768	protein_coding	AHCYL1	Cysteine and methionine metabolism
ENSG00000168710	10768	protein_coding	AHCYL1	Other amino acid
ENSG00000158467	23382	protein_coding	AHCYL2	Cysteine and methionine metabolism
ENSG00000158467	23382	protein_coding	AHCYL2	Other amino acid
ENSG00000106992	203	protein_coding	AK1	Purine metabolism
ENSG00000004455	204	protein_coding	AK2	Purine metabolism
ENSG00000147853	50808	protein_coding	AK3	Nucleotide metabolism
ENSG00000147853	50808	protein_coding	AK3	Purine metabolism
ENSG00000162433	205	protein_coding	AK4	Purine metabolism
ENSG00000154027	26289	protein_coding	AK5	Nucleotide metabolism
ENSG00000154027	26289	protein_coding	AK5	Purine metabolism
ENSG00000140057	122481	protein_coding	AK7	Purine metabolism
ENSG00000179841	9495	protein_coding	AKAP5	NA
ENSG00000117448	10327	protein_coding	AKR1A1	Glycerolipid metabolism
ENSG00000117448	10327	protein_coding	AKR1A1	Glycerophospholipid metabolism
